image_path,label,dataset,manipulation_type,video_id
FFPP/train/real/real_776_0.jpg,0,FFPP,real,776
FFPP/train/real/real_776_1.jpg,0,FFPP,real,776
FFPP/train/real/real_776_2.jpg,0,FFPP,real,776
FFPP/train/real/real_776_3.jpg,0,FFPP,real,776
FFPP/train/real/real_776_4.jpg,0,FFPP,real,776
FFPP/train/real/real_776_5.jpg,0,FFPP,real,776
FFPP/train/real/real_776_6.jpg,0,FFPP,real,776
FFPP/train/real/real_776_7.jpg,0,FFPP,real,776
FFPP/train/real/real_412_0.jpg,0,FFPP,real,412
FFPP/train/real/real_412_1.jpg,0,FFPP,real,412
FFPP/train/real/real_412_2.jpg,0,FFPP,real,412
FFPP/train/real/real_412_3.jpg,0,FFPP,real,412
FFPP/train/real/real_412_4.jpg,0,FFPP,real,412
FFPP/train/real/real_412_5.jpg,0,FFPP,real,412
FFPP/train/real/real_412_6.jpg,0,FFPP,real,412
FFPP/train/real/real_412_7.jpg,0,FFPP,real,412
FFPP/train/real/real_928_0.jpg,0,FFPP,real,928
FFPP/train/real/real_928_1.jpg,0,FFPP,real,928
FFPP/train/real/real_928_2.jpg,0,FFPP,real,928
FFPP/train/real/real_928_3.jpg,0,FFPP,real,928
FFPP/train/real/real_928_4.jpg,0,FFPP,real,928
FFPP/train/real/real_928_5.jpg,0,FFPP,real,928
FFPP/train/real/real_928_6.jpg,0,FFPP,real,928
FFPP/train/real/real_928_7.jpg,0,FFPP,real,928
FFPP/train/real/real_892_0.jpg,0,FFPP,real,892
FFPP/train/real/real_892_1.jpg,0,FFPP,real,892
FFPP/train/real/real_892_2.jpg,0,FFPP,real,892
FFPP/train/real/real_892_3.jpg,0,FFPP,real,892
FFPP/train/real/real_892_4.jpg,0,FFPP,real,892
FFPP/train/real/real_892_5.jpg,0,FFPP,real,892
FFPP/train/real/real_892_6.jpg,0,FFPP,real,892
FFPP/train/real/real_892_7.jpg,0,FFPP,real,892
FFPP/train/real/real_146_0.jpg,0,FFPP,real,146
FFPP/train/real/real_146_1.jpg,0,FFPP,real,146
FFPP/train/real/real_146_2.jpg,0,FFPP,real,146
FFPP/train/real/real_146_3.jpg,0,FFPP,real,146
FFPP/train/real/real_146_4.jpg,0,FFPP,real,146
FFPP/train/real/real_146_5.jpg,0,FFPP,real,146
FFPP/train/real/real_146_6.jpg,0,FFPP,real,146
FFPP/train/real/real_146_7.jpg,0,FFPP,real,146
FFPP/train/real/real_446_0.jpg,0,FFPP,real,446
FFPP/train/real/real_446_1.jpg,0,FFPP,real,446
FFPP/train/real/real_446_2.jpg,0,FFPP,real,446
FFPP/train/real/real_446_3.jpg,0,FFPP,real,446
FFPP/train/real/real_446_4.jpg,0,FFPP,real,446
FFPP/train/real/real_446_5.jpg,0,FFPP,real,446
FFPP/train/real/real_446_6.jpg,0,FFPP,real,446
FFPP/train/real/real_446_7.jpg,0,FFPP,real,446
FFPP/train/real/real_008_0.jpg,0,FFPP,real,008
FFPP/train/real/real_008_1.jpg,0,FFPP,real,008
FFPP/train/real/real_008_2.jpg,0,FFPP,real,008
FFPP/train/real/real_008_3.jpg,0,FFPP,real,008
FFPP/train/real/real_008_4.jpg,0,FFPP,real,008
FFPP/train/real/real_008_5.jpg,0,FFPP,real,008
FFPP/train/real/real_008_6.jpg,0,FFPP,real,008
FFPP/train/real/real_008_7.jpg,0,FFPP,real,008
FFPP/train/real/real_709_0.jpg,0,FFPP,real,709
FFPP/train/real/real_709_1.jpg,0,FFPP,real,709
FFPP/train/real/real_709_2.jpg,0,FFPP,real,709
FFPP/train/real/real_709_3.jpg,0,FFPP,real,709
FFPP/train/real/real_709_4.jpg,0,FFPP,real,709
FFPP/train/real/real_709_5.jpg,0,FFPP,real,709
FFPP/train/real/real_709_6.jpg,0,FFPP,real,709
FFPP/train/real/real_709_7.jpg,0,FFPP,real,709
FFPP/train/real/real_274_0.jpg,0,FFPP,real,274
FFPP/train/real/real_274_1.jpg,0,FFPP,real,274
FFPP/train/real/real_274_2.jpg,0,FFPP,real,274
FFPP/train/real/real_274_3.jpg,0,FFPP,real,274
FFPP/train/real/real_274_4.jpg,0,FFPP,real,274
FFPP/train/real/real_274_5.jpg,0,FFPP,real,274
FFPP/train/real/real_274_6.jpg,0,FFPP,real,274
FFPP/train/real/real_274_7.jpg,0,FFPP,real,274
FFPP/train/real/real_431_0.jpg,0,FFPP,real,431
FFPP/train/real/real_431_1.jpg,0,FFPP,real,431
FFPP/train/real/real_431_2.jpg,0,FFPP,real,431
FFPP/train/real/real_431_3.jpg,0,FFPP,real,431
FFPP/train/real/real_431_4.jpg,0,FFPP,real,431
FFPP/train/real/real_431_5.jpg,0,FFPP,real,431
FFPP/train/real/real_431_6.jpg,0,FFPP,real,431
FFPP/train/real/real_431_7.jpg,0,FFPP,real,431
FFPP/train/real/real_066_0.jpg,0,FFPP,real,066
FFPP/train/real/real_066_1.jpg,0,FFPP,real,066
FFPP/train/real/real_066_2.jpg,0,FFPP,real,066
FFPP/train/real/real_066_3.jpg,0,FFPP,real,066
FFPP/train/real/real_066_4.jpg,0,FFPP,real,066
FFPP/train/real/real_066_5.jpg,0,FFPP,real,066
FFPP/train/real/real_066_6.jpg,0,FFPP,real,066
FFPP/train/real/real_066_7.jpg,0,FFPP,real,066
FFPP/train/real/real_921_0.jpg,0,FFPP,real,921
FFPP/train/real/real_921_1.jpg,0,FFPP,real,921
FFPP/train/real/real_921_2.jpg,0,FFPP,real,921
FFPP/train/real/real_921_3.jpg,0,FFPP,real,921
FFPP/train/real/real_921_4.jpg,0,FFPP,real,921
FFPP/train/real/real_921_5.jpg,0,FFPP,real,921
FFPP/train/real/real_921_6.jpg,0,FFPP,real,921
FFPP/train/real/real_921_7.jpg,0,FFPP,real,921
FFPP/train/real/real_558_0.jpg,0,FFPP,real,558
FFPP/train/real/real_558_1.jpg,0,FFPP,real,558
